Player,Team,Pos,GP,GS
Juuse Saros,NSH,G,24,24
Connor Hellebuyck,WPG,G,23,23
Sam Montembeault,MTL,G,22,21
Andrei Vasilevskiy,TBL,G,22,22
Jordan Binnington,STL,G,21,20
Filip Gustavsson,MIN,G,21,21
Jacob Markström,NJD,G,21,21
Igor Shesterkin,NYR,G,21,21
Jeremy Swayman,BOS,G,21,21
Joey Daccord,SEA,G,20,20
Kevin Lankinen,VAN,G,20,20
Ukko-Pekka Luukkonen,BUF,G,20,20
Petr Mrázek,CHI,G,20,20
Jake Oettinger,DAL,G,20,20
Ilya Sorokin,NYI,G,20,20
Mackenzie Blackwood,SJS,G,19,17
Sergei Bobrovsky,FLA,G,19,19
Elvis Merzļikins,CBJ,G,19,19
Stuart Skinner,EDM,G,19,19
Alexandar Georgiev,COL,G,18,17
Adin Hill,VEG,G,18,18
Linus Ullmark,OTT,G,18,17
Pyotr Kochetkov,CAR,G,17,17
David Rittich,LAK,G,17,15
Lukáš Dostál,ANA,G,16,16
Anthony Stolarz,TOR,G,16,16
Cam Talbot,DET,G,15,14
Karel Vejmelka,UTA,G,15,13
Daniel Vladař,CGY,G,15,15
Logan Thompson,WSH,G,14,14
Dustin Wolf,CGY,G,14,14
Samuel Ersson,PHI,G,13,12
Connor Ingram,UTA,G,13,13
Charlie Lindgren,WSH,G,13,13
Alex Nedeljkovic,PIT,G,13,12
Vítek Vaněček,SJS,G,13,12
Darcy Kuemper,LAK,G,12,12
Justus Annunen,2TM,G,12,10
Justus Annunen,COL,G,11,9
Justus Annunen,NSH,G,1,1
Anton Forsberg,OTT,G,11,11
Tristan Jarry,PIT,G,11,11
Spencer Knight,FLA,G,11,10
Jake Allen,NJD,G,10,10
Ivan Fedotov,PHI,G,10,10
Philipp Grubauer,SEA,G,10,10
Joonas Korpisalo,BOS,G,10,9
Calvin Pickard,EDM,G,10,9
Cayden Primeau,MTL,G,10,7
Ilya Samsonov,VEG,G,10,10
Semyon Varlamov,NYI,G,10,10
Joseph Woll,TOR,G,10,10
John Gibson,ANA,G,9,9
Joel Hofer,STL,G,9,9
Aleksei Kolosov,PHI,G,9,7
Alex Lyon,DET,G,9,8
Spencer Martin,CAR,G,9,7
Arvid Söderblom,CHI,G,9,8
Daniil Tarasov,CBJ,G,9,9
Scott Wedgewood,2TM,G,9,7
Scott Wedgewood,NSH,G,5,4
Scott Wedgewood,COL,G,4,3
Joel Blomqvist,PIT,G,8,7
Casey DeSmith,DAL,G,8,7
Jonathan Quick,NYR,G,8,7
Eric Comrie,WPG,G,7,7
Marc-André Fleury,MIN,G,7,7
Ville Husso,DET,G,7,6
Devon Levi,BUF,G,7,6
Arturs Silovs,VAN,G,7,6
Jonas Johansson,TBL,G,5,4
James Reimer,2TM,G,5,5
James Reimer,ANA,G,2,2
James Reimer,BUF,G,3,3
Frederik Andersen,CAR,G,4,4
Yaroslav Askarov,SJS,G,2,2
Dennis Hildeby,TOR,G,2,2
Jaxson Stauber,UTA,G,2,2
Pheonix Copley,LAK,G,1,0
Sebastian Cossa,DET,G,1,0
Thatcher Demko,VAN,G,1,1
Marcus Högberg,NYI,G,1,0
Kaapo Kähkönen,COL,G,1,1
Trent Miner,COL,G,1,0
Yaniv Perets,CAR,G,1,0
Erik Portillo,LAK,G,1,1
Akira Schmid,VEG,G,1,0
Mads Søgaard,OTT,G,1,0